session_id,block_num,binocular_raw_median,bbox_scale_px,outer_eye_px,inner_canthus_px,rotation_mag,translation_mag
sub-127,1,38.776579211261335,311.62278747558594,121.67573596660812,51.97828952689291,0.10827839707522724,5.070319327436532
sub-127,2,40.71302046699343,312.6280517578125,122.40759255833255,52.56542368475416,0.07978414432205272,5.100633570233028
sub-128,1,35.77774072045547,242.89154815673805,104.48472673377395,43.10855119640469,0.058175261400693304,4.785327334751555
sub-128,2,36.92137360155709,244.97666931152295,106.69675859544482,43.722064773075076,0.05168684106162286,4.723131812157488
sub-129,1,43.96286497627409,293.88219451904274,119.58450508354579,50.65544893251072,0.13378070888636995,4.597200726003929
sub-129,2,41.52112172229231,288.9023895263664,119.48565997596847,50.70994913003469,0.11960274543947946,4.59703668456535
sub-130,1,41.6951074275756,279.439208984375,118.23554048134943,50.59534697890495,0.07064084535949146,4.848142334023834
sub-130,2,42.2651897489752,281.68016052246014,117.32927310799094,49.88711664480556,0.05984484231427853,4.87997708507241
sub-131,1,,306.83782958984375,124.6624092454472,53.04487553790625,0.05108217789088747,4.690273233904245
sub-131,2,28.19327078603436,302.4529266357414,126.5805632061637,52.98433812559827,0.026239875145783603,4.627109206489402
